Image Path,Caption
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame4859_leftImg8bit.jpg,a street with many shops and motorcycles on it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame7019_leftImg8bit.jpg,a view of a road with a motorcycle and a truck
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0010_leftImg8bit.jpg,a view of a road with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame3419_leftImg8bit.jpg,a street with a truck and a horse pulling a cart
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame1289_leftImg8bit.jpg,a man is riding a motorcycle down a street
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0239_leftImg8bit.jpg,a view of a road with people on motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame2729_leftImg8bit.jpg,a street in india with cars parked on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame7139_leftImg8bit.jpg,a road with motorcycles parked on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame6059_leftImg8bit.jpg,a man riding a motorcycle down a road
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0389_leftImg8bit.jpg,a man on a motorcycle is riding down a street
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame3869_leftImg8bit.jpg,a street with a motorcycle and a bicycle parked on the side
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame6449_leftImg8bit.jpg,two people riding motorcycles down a road with trees in the background
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame2999_leftImg8bit.jpg,a street with many shops and motorcycles on it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame6209_leftImg8bit.jpg,a man is walking down the middle of a road
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame2429_leftImg8bit.jpg,a street with many motorcycles parked on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame5309_leftImg8bit.jpg,a street in india with motorcycles and people walking
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame6599_leftImg8bit.jpg,a street with a yellow bus and people on motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0509_leftImg8bit.jpg,a man riding a motorcycle down a street
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame1049_leftImg8bit.jpg,a woman walking down the street in a small village
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame1559_leftImg8bit.jpg,a view of a street in india with buildings and motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0629_leftImg8bit.jpg,a car driving down a street in india
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame3719_leftImg8bit.jpg,a street with people walking down the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame7649_leftImg8bit.jpg,a man on a motorcycle rides down a road
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame4649_leftImg8bit.jpg,a busy street with many motorcycles and people
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame2849_leftImg8bit.jpg,a street with motorcycles and people walking down it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame2159_leftImg8bit.jpg,a view of a street in india with a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame4079_leftImg8bit.jpg,a man is walking down the street in a small town
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame0809_leftImg8bit.jpg,a man riding a motorcycle down a road in india
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame4439_leftImg8bit.jpg,a street with motorcycles and people walking down it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame1709_leftImg8bit.jpg,a view of a busy street with a motorcycle and a car
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10612_leftImg8bit.jpg,a man riding a motorbike down a city street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7833_leftImg8bit.jpg,a street with people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3633_leftImg8bit.jpg,a busy street with people on motorcycles and scooters
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1716_leftImg8bit.jpg,a busy street with many vehicles and people
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6658_leftImg8bit.jpg,a street with a clock tower in the background
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2141_leftImg8bit.jpg,a busy street with people walking and riding on motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1833_leftImg8bit.jpg,a busy street with people on motorbikes and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3116_leftImg8bit.jpg,a narrow street with many people on motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame5541_leftImg8bit.jpg,a street with many people on motorcycles and motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame8258_leftImg8bit.jpg,a street with two tuk tuks and a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame8691_leftImg8bit.jpg,a man riding a motorcycle down a narrow street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7958_leftImg8bit.jpg,a street with two tuk-tuks and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame8833_leftImg8bit.jpg,a street with people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0533_leftImg8bit.jpg,a street with people riding bikes and a man walking down the middle
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3858_leftImg8bit.jpg,a busy street with people on motorcycles and motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4141_leftImg8bit.jpg,a street with a motorbike and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9158_leftImg8bit.jpg,a street with many motorcyclists and cars driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2833_leftImg8bit.jpg,a street with people walking and motorcycles parked in the middle
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame5691_leftImg8bit.jpg,a narrow street with a lot of people walking and riding motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7566_leftImg8bit.jpg,a street with many people and vehicles on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6383_leftImg8bit.jpg,a street with many people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9991_leftImg8bit.jpg,a busy street with many vehicles and people
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1608_leftImg8bit.jpg,a busy street with cars and people walking
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2958_leftImg8bit.jpg,a man on a motorcycle is riding down a street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7391_leftImg8bit.jpg,a street with many vehicles and people walking down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3741_leftImg8bit.jpg,a street with a yellow taxi and motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0274_leftImg8bit.jpg,a man is walking down the street in front of a building
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4533_leftImg8bit.jpg,a man walking down a street with motorcycles and people
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1300_leftImg8bit.jpg,a street with many people walking and riding bikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7658_leftImg8bit.jpg,a street with a lot of people walking and driving on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9433_leftImg8bit.jpg,a street with many vehicles and motorcycles on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4258_leftImg8bit.jpg,a street with a yellow taxi and a motorcycle
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame5858_leftImg8bit.jpg,a narrow street with cars parked in the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0666_leftImg8bit.jpg,a view of a street with a tall archway
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10007_leftImg8bit.jpg,a street with many people and vehicles on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame7091_leftImg8bit.jpg,a street with many motorcycles and people on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10696_leftImg8bit.jpg,a man riding a motorbike down a city street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4341_leftImg8bit.jpg,a street with cars and motorcycles parked on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1441_leftImg8bit.jpg,a busy street with people walking and riding motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2716_leftImg8bit.jpg,a street with many people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4683_leftImg8bit.jpg,a narrow street with many motor bikes and people walking
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0424_leftImg8bit.jpg,a man riding a motorcycle down a street with buildings in the background
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6133_leftImg8bit.jpg,a busy street with people on motorcycles and motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3566_leftImg8bit.jpg,a busy street with people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9733_leftImg8bit.jpg,a street with a tuk tuk and motorcycles on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6558_leftImg8bit.jpg,a street with many people on motorcycles and bicycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9008_leftImg8bit.jpg,a busy street with motorcycles and people walking and driving
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10900_leftImg8bit.jpg,a busy street with people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2533_leftImg8bit.jpg,a busy street with many motor vehicles and people
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame5308_leftImg8bit.jpg,a man riding a motorbike down a narrow street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4766_leftImg8bit.jpg,a street with many vehicles and people walking down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6266_leftImg8bit.jpg,a busy street with people on motor bikes and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame1081_leftImg8bit.jpg,a street with many motor vehicles parked in front of a building
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10521_leftImg8bit.jpg,a man riding a motorbike down a busy street
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame8108_leftImg8bit.jpg,a street with a truck and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame9316_leftImg8bit.jpg,a street with many vehicles and people on it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0799_leftImg8bit.jpg,a busy street with people on motorcycles and motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3383_leftImg8bit.jpg,a street with cars and motorcycles parked on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame10393_leftImg8bit.jpg,a street with many motorcycles and people walking down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame5116_leftImg8bit.jpg,a busy street with many people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame6808_leftImg8bit.jpg,a street with people on motorcycles and a clock tower
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0183_leftImg8bit.jpg,a street with many people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame2258_leftImg8bit.jpg,a busy street with people walking and riding motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame3991_leftImg8bit.jpg,a street with a small tuk tuk on the side of it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame4416_leftImg8bit.jpg,a street with two tuk tuks parked on the side
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame0008_leftImg8bit.jpg,a street with a tuk tuk driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/578/frame8508_leftImg8bit.jpg,a busy street with people on motorcycles and motorbikes
/home/harshabommana/idd20kII/leftImg8bit/train/424/frame0349_leftImg8bit.jpg,a road with a sign on it and a pole
/home/harshabommana/idd20kII/leftImg8bit/train/424/frame1149_leftImg8bit.jpg,a man is walking under an overpass with a car
/home/harshabommana/idd20kII/leftImg8bit/train/424/frame0924_leftImg8bit.jpg,a street with a bridge over it and a building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/424/frame0799_leftImg8bit.jpg,a street with a truck parked on the side of it
/home/harshabommana/idd20kII/leftImg8bit/train/424/frame0499_leftImg8bit.jpg,a man is walking down the road under a bridge
/home/harshabommana/idd20kII/leftImg8bit/train/413/frame0164_leftImg8bit.jpg,a street with a small vehicle driving down the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/413/frame0266_leftImg8bit.jpg,a street with a motorcyclist riding down the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/413/frame0215_leftImg8bit.jpg,a street with a bus and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/413/frame0003_leftImg8bit.jpg,a busy street with people on motorcycles and cars
/home/harshabommana/idd20kII/leftImg8bit/train/413/frame0399_leftImg8bit.jpg,a street with many people and vehicles on it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame0599_leftImg8bit.jpg,a man on a motorcycle is riding down the road
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1996_leftImg8bit.jpg,a truck driving down a street with motorcycles and motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame11817_leftImg8bit.jpg,a street with a red bus and cars on it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame0374_leftImg8bit.jpg,a red and white bus driving down a street
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame10794_leftImg8bit.jpg,a street with several vehicles and trucks on it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame11044_leftImg8bit.jpg,a street with cars and buses on it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame0774_leftImg8bit.jpg,a man on a motorcycle driving down a street with a pile of wood
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame10294_leftImg8bit.jpg,a truck driving down a road with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame10044_leftImg8bit.jpg,a motorcyclist rides down a road with flowers in the background
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1801_leftImg8bit.jpg,motorcycles and trucks on a busy street
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame2271_leftImg8bit.jpg,a truck driving down a road with motorcycles and people on the side
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame0224_leftImg8bit.jpg,a red bus driving down a street with a building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1621_leftImg8bit.jpg,a busy street with people on motorcycles and trucks
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame0024_leftImg8bit.jpg,a red bus driving down a street with a motorcycle behind it
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame12021_leftImg8bit.jpg,a busy street with people on motorcycles and trucks
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1426_leftImg8bit.jpg,a man standing on the side of the road near a car
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1084_leftImg8bit.jpg,motorcycles and people on the road in a city
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame10658_leftImg8bit.jpg,a truck driving down a road with trees and buildings in the background
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame11521_leftImg8bit.jpg,a truck driving down a road with cars and buildings in the background
/home/harshabommana/idd20kII/leftImg8bit/train/469/frame1271_leftImg8bit.jpg,a red bus and a small car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame11329_leftImg8bit.jpg,a street in india with people walking down the street
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4539_leftImg8bit.jpg,a view from the front of a car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4452_leftImg8bit.jpg,a view of a road with trees and power lines
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame2289_leftImg8bit.jpg,a bus is driving down the road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1536_leftImg8bit.jpg,a street with trees and bushes on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4642_leftImg8bit.jpg,a car driving down a road with a truck behind it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1023_leftImg8bit.jpg,a view from the back of a car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1671_leftImg8bit.jpg,a street with a motorcycle parked in front of a building
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame5266_leftImg8bit.jpg,a view of a road with a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame7207_leftImg8bit.jpg,a man on a motorcycle is riding down a street
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame13369_leftImg8bit.jpg,a car driving down a street in the city
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame31844_leftImg8bit.jpg,a street with a lot of people on it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1694_leftImg8bit.jpg,a truck driving down a road with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame15350_leftImg8bit.jpg,a road with garbage and trash on it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame26226_leftImg8bit.jpg,a street with a motorcycle and a man on a bike
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame8914_leftImg8bit.jpg,a view of a road with a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12659_leftImg8bit.jpg,a car driving down a narrow road with trees and bushes
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4591_leftImg8bit.jpg,a car is parked on the side of the road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame23055_leftImg8bit.jpg,a vehicle driving down a dirt road with a building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame0448_leftImg8bit.jpg,a bus driving down a street in india
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12902_leftImg8bit.jpg,a view of a street with trees and a motorcycle
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12222_leftImg8bit.jpg,a car is parked on the side of a street
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame31424_leftImg8bit.jpg,"a busy street with cars, motorcycles and trucks"
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame6607_leftImg8bit.jpg,a view of a narrow street in a village
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame0919_leftImg8bit.jpg,a man riding a motorcycle down a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame27442_leftImg8bit.jpg,a street with a car parked in the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame2380_leftImg8bit.jpg,a vehicle is driving down the road with a bus in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame6386_leftImg8bit.jpg,a car driving down a narrow street in india
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame2905_leftImg8bit.jpg,a view from the inside of a car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame10137_leftImg8bit.jpg,a view from the front of a car on a dirt road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame6656_leftImg8bit.jpg,a view of a narrow street with a building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame15087_leftImg8bit.jpg,a street with garbage and trash on the side
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame18563_leftImg8bit.jpg,a street with a truck and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1160_leftImg8bit.jpg,a man walking down the road near a bus
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame18928_leftImg8bit.jpg,a man on a motorcycle is driving down a street
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame8471_leftImg8bit.jpg,a bus driving down a road with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame7348_leftImg8bit.jpg,a street with a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame14917_leftImg8bit.jpg,a street with garbage and trash on the side
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame26760_leftImg8bit.jpg,a view of a road from a car
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame0109_leftImg8bit.jpg,a yellow bus
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame16148_leftImg8bit.jpg,a view of a road with a pink building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame14679_leftImg8bit.jpg,a man on a motorcycle riding down a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame22851_leftImg8bit.jpg,a street with a motorcycle and a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame3394_leftImg8bit.jpg,a car driving down a narrow street with a motorcycle parked on the side
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame8810_leftImg8bit.jpg,a view of a road from the back of a car
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame10852_leftImg8bit.jpg,a narrow alley with a car parked in the middle
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12768_leftImg8bit.jpg,a person riding a motorcycle down a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame8075_leftImg8bit.jpg,a car driving down a road with a blue car in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame3606_leftImg8bit.jpg,a car driving down a narrow street in the middle of a village
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12116_leftImg8bit.jpg,a car driving down a narrow street with buildings on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame14153_leftImg8bit.jpg,a street with a truck parked on the side of it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame0367_leftImg8bit.jpg,a yellow bus driving down a street in a city
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4315_leftImg8bit.jpg,a truck driving down a road with a car behind it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4384_leftImg8bit.jpg,a view from the back of a car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4067_leftImg8bit.jpg,a white suv driving down a road with a motorcycle parked next to it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame15475_leftImg8bit.jpg,a woman riding a motorbike down a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame1210_leftImg8bit.jpg,a view of a road with a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame27244_leftImg8bit.jpg,a street with a few trees and a few cars
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame11755_leftImg8bit.jpg,a view of a street from the back of a car
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame12604_leftImg8bit.jpg,a view of a road from the back of a car
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame19107_leftImg8bit.jpg,a motorcycle is driving down a street with a truck and a building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame6137_leftImg8bit.jpg,a view of a street from a car
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame7103_leftImg8bit.jpg,a view from the back of a car on a road
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame4904_leftImg8bit.jpg,a car driving down a road with a fence and power lines
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame2548_leftImg8bit.jpg,a view of a road with buses and trucks
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame11154_leftImg8bit.jpg,a street with a blue building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame25188_leftImg8bit.jpg,a street with garbage and people on motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/252/frame16210_leftImg8bit.jpg,a motorcyclist riding down a road in a city
